"icd_code","icd_version","long_title","n_categories","categories","any_review_flag"
"T42",10,"Poisoning by, adverse effect of and underdosing of antiepileptic, sedative- hypnotic and antiparkinsonism drugs",3,"Dementia / Alzheimer / neurodegenerative | Other substance use / drug intoxication | Status epilepticus / epilepsy / seizure",FALSE
"2912",9,"Alcohol-induced persisting dementia",2,"Alcohol use / intoxication / withdrawal | Dementia / Alzheimer / neurodegenerative",FALSE
"85209",9,"Subarachnoid hemorrhage following injury without mention of open intracranial wound, with concussion, unspecified",2,"Stroke / cerebrovascular disease | Traumatic brain injury",TRUE
"85219",9,"Subarachnoid hemorrhage following injury with open intracranial wound, with concussion, unspecified",2,"Stroke / cerebrovascular disease | Traumatic brain injury",FALSE
"E8550",9,"Accidental poisoning by anticonvulsant and anti-parkinsonism drugs",2,"Dementia / Alzheimer / neurodegenerative | Status epilepticus / epilepsy / seizure",FALSE
"F1015",10,"Alcohol abuse with alcohol-induced psychotic disorder",2,"Alcohol use / intoxication / withdrawal | Pre-existing psychiatric illness",FALSE
"F10150",10,"Alcohol abuse with alcohol-induced psychotic disorder with delusions",2,"Alcohol use / intoxication / withdrawal | Pre-existing psychiatric illness",FALSE
"F10151",10,"Alcohol abuse with alcohol-induced psychotic disorder with hallucinations",2,"Alcohol use / intoxication / withdrawal | Pre-existing psychiatric illness",FALSE
"F10159",10,"Alcohol abuse with alcohol-induced psychotic disorder, unspecified",2,"Alcohol use / intoxication / withdrawal | Pre-existing psychiatric illness",FALSE
"F1025",10,"Alcohol dependence with alcohol-induced psychotic disorder",2,"Alcohol use / intoxication / withdrawal | Pre-existing psychiatric illness",FALSE
"F10250",10,"Alcohol dependence with alcohol-induced psychotic disorder with delusions",2,"Alcohol use / intoxication / withdrawal | Pre-existing psychiatric illness",FALSE
"F10251",10,"Alcohol dependence with alcohol-induced psychotic disorder with hallucinations",2,"Alcohol use / intoxication / withdrawal | Pre-existing psychiatric illness",FALSE
"F10259",10,"Alcohol dependence with alcohol-induced psychotic disorder, unspecified",2,"Alcohol use / intoxication / withdrawal | Pre-existing psychiatric illness",FALSE
"F1027",10,"Alcohol dependence with alcohol-induced persisting dementia",2,"Alcohol use / intoxication / withdrawal | Dementia / Alzheimer / neurodegenerative",FALSE
"F1095",10,"Alcohol use, unspecified with alcohol-induced psychotic disorder",2,"Alcohol use / intoxication / withdrawal | Pre-existing psychiatric illness",FALSE
"F10950",10,"Alcohol use, unspecified with alcohol-induced psychotic disorder with delusions",2,"Alcohol use / intoxication / withdrawal | Pre-existing psychiatric illness",FALSE
"F10951",10,"Alcohol use, unspecified with alcohol-induced psychotic disorder with hallucinations",2,"Alcohol use / intoxication / withdrawal | Pre-existing psychiatric illness",FALSE
"F10959",10,"Alcohol use, unspecified with alcohol-induced psychotic disorder, unspecified",2,"Alcohol use / intoxication / withdrawal | Pre-existing psychiatric illness",FALSE
"F1097",10,"Alcohol use, unspecified with alcohol-induced persisting dementia",2,"Alcohol use / intoxication / withdrawal | Dementia / Alzheimer / neurodegenerative",FALSE
"F1115",10,"Opioid abuse with opioid-induced psychotic disorder",2,"Other substance use / drug intoxication | Pre-existing psychiatric illness",FALSE
"F11150",10,"Opioid abuse with opioid-induced psychotic disorder with delusions",2,"Other substance use / drug intoxication | Pre-existing psychiatric illness",FALSE
"F11151",10,"Opioid abuse with opioid-induced psychotic disorder with hallucinations",2,"Other substance use / drug intoxication | Pre-existing psychiatric illness",FALSE
"F11159",10,"Opioid abuse with opioid-induced psychotic disorder, unspecified",2,"Other substance use / drug intoxication | Pre-existing psychiatric illness",FALSE
"F1125",10,"Opioid dependence with opioid-induced psychotic disorder",2,"Other substance use / drug intoxication | Pre-existing psychiatric illness",FALSE
"F11250",10,"Opioid dependence with opioid-induced psychotic disorder with delusions",2,"Other substance use / drug intoxication | Pre-existing psychiatric illness",FALSE
"F11251",10,"Opioid dependence with opioid-induced psychotic disorder with hallucinations",2,"Other substance use / drug intoxication | Pre-existing psychiatric illness",FALSE
"F11259",10,"Opioid dependence with opioid-induced psychotic disorder, unspecified",2,"Other substance use / drug intoxication | Pre-existing psychiatric illness",FALSE
"F1195",10,"Opioid use, unspecified with opioid-induced psychotic disorder",2,"Other substance use / drug intoxication | Pre-existing psychiatric illness",FALSE
"F11950",10,"Opioid use, unspecified with opioid-induced psychotic disorder with delusions",2,"Other substance use / drug intoxication | Pre-existing psychiatric illness",FALSE
"F11951",10,"Opioid use, unspecified with opioid-induced psychotic disorder with hallucinations",2,"Other substance use / drug intoxication | Pre-existing psychiatric illness",FALSE
"F11959",10,"Opioid use, unspecified with opioid-induced psychotic disorder, unspecified",2,"Other substance use / drug intoxication | Pre-existing psychiatric illness",FALSE
"F1215",10,"Cannabis abuse with psychotic disorder",2,"Other substance use / drug intoxication | Pre-existing psychiatric illness",FALSE
"F12150",10,"Cannabis abuse with psychotic disorder with delusions",2,"Other substance use / drug intoxication | Pre-existing psychiatric illness",FALSE
"F12151",10,"Cannabis abuse with psychotic disorder with hallucinations",2,"Other substance use / drug intoxication | Pre-existing psychiatric illness",FALSE
"F12159",10,"Cannabis abuse with psychotic disorder, unspecified",2,"Other substance use / drug intoxication | Pre-existing psychiatric illness",FALSE
"F1225",10,"Cannabis dependence with psychotic disorder",2,"Other substance use / drug intoxication | Pre-existing psychiatric illness",FALSE
"F12250",10,"Cannabis dependence with psychotic disorder with delusions",2,"Other substance use / drug intoxication | Pre-existing psychiatric illness",FALSE
"F12251",10,"Cannabis dependence with psychotic disorder with hallucinations",2,"Other substance use / drug intoxication | Pre-existing psychiatric illness",FALSE
"F12259",10,"Cannabis dependence with psychotic disorder, unspecified",2,"Other substance use / drug intoxication | Pre-existing psychiatric illness",FALSE
"F1295",10,"Cannabis use, unspecified with psychotic disorder",2,"Other substance use / drug intoxication | Pre-existing psychiatric illness",FALSE
"F12950",10,"Cannabis use, unspecified with psychotic disorder with delusions",2,"Other substance use / drug intoxication | Pre-existing psychiatric illness",FALSE
"F12951",10,"Cannabis use, unspecified with psychotic disorder with hallucinations",2,"Other substance use / drug intoxication | Pre-existing psychiatric illness",FALSE
"F12959",10,"Cannabis use, unspecified with psychotic disorder, unspecified",2,"Other substance use / drug intoxication | Pre-existing psychiatric illness",FALSE
"F1315",10,"Sedative, hypnotic or anxiolytic abuse with sedative, hypnotic or anxiolytic-induced psychotic disorder",2,"Other substance use / drug intoxication | Pre-existing psychiatric illness",FALSE
"F13150",10,"Sedative, hypnotic or anxiolytic abuse with sedative, hypnotic or anxiolytic-induced psychotic disorder with delusions",2,"Other substance use / drug intoxication | Pre-existing psychiatric illness",FALSE
"F13151",10,"Sedative, hypnotic or anxiolytic abuse with sedative, hypnotic or anxiolytic-induced psychotic disorder with hallucinations",2,"Other substance use / drug intoxication | Pre-existing psychiatric illness",FALSE
"F13159",10,"Sedative, hypnotic or anxiolytic abuse with sedative, hypnotic or anxiolytic-induced psychotic disorder, unspecified",2,"Other substance use / drug intoxication | Pre-existing psychiatric illness",FALSE
"F1325",10,"Sedative, hypnotic or anxiolytic dependence with sedative, hypnotic or anxiolytic-induced psychotic disorder",2,"Other substance use / drug intoxication | Pre-existing psychiatric illness",FALSE
"F13250",10,"Sedative, hypnotic or anxiolytic dependence with sedative, hypnotic or anxiolytic-induced psychotic disorder with delusions",2,"Other substance use / drug intoxication | Pre-existing psychiatric illness",FALSE
"F13251",10,"Sedative, hypnotic or anxiolytic dependence with sedative, hypnotic or anxiolytic-induced psychotic disorder with hallucinations",2,"Other substance use / drug intoxication | Pre-existing psychiatric illness",FALSE
"F13259",10,"Sedative, hypnotic or anxiolytic dependence with sedative, hypnotic or anxiolytic-induced psychotic disorder, unspecified",2,"Other substance use / drug intoxication | Pre-existing psychiatric illness",FALSE
"F1327",10,"Sedative, hypnotic or anxiolytic dependence with sedative, hypnotic or anxiolytic-induced persisting dementia",2,"Dementia / Alzheimer / neurodegenerative | Other substance use / drug intoxication",FALSE
"F1395",10,"Sedative, hypnotic or anxiolytic use, unspecified with sedative, hypnotic or anxiolytic-induced psychotic disorder",2,"Other substance use / drug intoxication | Pre-existing psychiatric illness",FALSE
"F13950",10,"Sedative, hypnotic or anxiolytic use, unspecified with sedative, hypnotic or anxiolytic-induced psychotic disorder with delusions",2,"Other substance use / drug intoxication | Pre-existing psychiatric illness",FALSE
"F13951",10,"Sedative, hypnotic or anxiolytic use, unspecified with sedative, hypnotic or anxiolytic-induced psychotic disorder with hallucinations",2,"Other substance use / drug intoxication | Pre-existing psychiatric illness",FALSE
"F13959",10,"Sedative, hypnotic or anxiolytic use, unspecified with sedative, hypnotic or anxiolytic-induced psychotic disorder, unspecified",2,"Other substance use / drug intoxication | Pre-existing psychiatric illness",FALSE
"F1397",10,"Sedative, hypnotic or anxiolytic use, unspecified with sedative, hypnotic or anxiolytic-induced persisting dementia",2,"Dementia / Alzheimer / neurodegenerative | Other substance use / drug intoxication",FALSE
"F1415",10,"Cocaine abuse with cocaine-induced psychotic disorder",2,"Other substance use / drug intoxication | Pre-existing psychiatric illness",FALSE
"F14150",10,"Cocaine abuse with cocaine-induced psychotic disorder with delusions",2,"Other substance use / drug intoxication | Pre-existing psychiatric illness",FALSE
"F14151",10,"Cocaine abuse with cocaine-induced psychotic disorder with hallucinations",2,"Other substance use / drug intoxication | Pre-existing psychiatric illness",FALSE
"F14159",10,"Cocaine abuse with cocaine-induced psychotic disorder, unspecified",2,"Other substance use / drug intoxication | Pre-existing psychiatric illness",FALSE
"F1425",10,"Cocaine dependence with cocaine-induced psychotic disorder",2,"Other substance use / drug intoxication | Pre-existing psychiatric illness",FALSE
"F14250",10,"Cocaine dependence with cocaine-induced psychotic disorder with delusions",2,"Other substance use / drug intoxication | Pre-existing psychiatric illness",FALSE
"F14251",10,"Cocaine dependence with cocaine-induced psychotic disorder with hallucinations",2,"Other substance use / drug intoxication | Pre-existing psychiatric illness",FALSE
