"icd_code","icd_version","long_title","category","matched_by","review_flag"
"3102",9,"Postconcussion syndrome","Traumatic brain injury","title",FALSE
"80000",9,"Closed fracture of vault of skull without mention of intracranial injury, unspecified state of consciousness","Traumatic brain injury","title",TRUE
"80001",9,"Closed fracture of vault of skull without mention of intracranial injury, with no loss of consciousness","Traumatic brain injury","title",TRUE
"80002",9,"Closed fracture of vault of skull without mention of intracranial injury, with brief [less than one hour] loss of consciousness","Traumatic brain injury","title",TRUE
"80003",9,"Closed fracture of vault of skull without mention of intracranial injury, with moderate [1-24 hours] loss of consciousness","Traumatic brain injury","title",TRUE
"80004",9,"Closed fracture of vault of skull without mention of intracranial injury, with prolonged [more than 24 hours] loss of consciousness and return to pre-existing conscious level","Traumatic brain injury","title",TRUE
"80005",9,"Closed fracture of vault of skull without mention of intracranial injury, with prolonged [more than 24 hours] loss of consciousness, without return to pre-existing conscious level","Traumatic brain injury","title",TRUE
"80006",9,"Closed fracture of vault of skull without mention of intracranial injury, with loss of consciousness of unspecified duration","Traumatic brain injury","title",TRUE
"80009",9,"Closed fracture of vault of skull without mention of intracranial injury, with concussion, unspecified","Traumatic brain injury","title",TRUE
"80010",9,"Closed fracture of vault of skull with cerebral laceration and contusion, unspecified state of consciousness","Traumatic brain injury","title",FALSE
"80011",9,"Closed fracture of vault of skull with cerebral laceration and contusion, with no loss of consciousness","Traumatic brain injury","title",FALSE
"80012",9,"Closed fracture of vault of skull with cerebral laceration and contusion, with brief [less than one hour] loss of consciousness","Traumatic brain injury","title",FALSE
"80013",9,"Closed fracture of vault of skull with cerebral laceration and contusion, with moderate [1-24 hours] loss of consciousness","Traumatic brain injury","title",FALSE
"80014",9,"Closed fracture of vault of skull with cerebral laceration and contusion, with prolonged [more than 24 hours] loss of consciousness and return to pre-existing conscious level","Traumatic brain injury","title",FALSE
"80015",9,"Closed fracture of vault of skull with cerebral laceration and contusion, with prolonged [more than 24 hours] loss of consciousness, without return to pre-existing conscious level","Traumatic brain injury","title",FALSE
"80016",9,"Closed fracture of vault of skull with cerebral laceration and contusion, with loss of consciousness of unspecified duration","Traumatic brain injury","title",FALSE
"80019",9,"Closed fracture of vault of skull with cerebral laceration and contusion, with concussion, unspecified","Traumatic brain injury","title",FALSE
"80029",9,"Closed fracture of vault of skull with subarachnoid, subdural, and extradural hemorrhage, with concussion, unspecified","Traumatic brain injury","title",FALSE
"80039",9,"Closed fracture of vault of skull with other and unspecified intracranial hemorrhage, with concussion, unspecified","Traumatic brain injury","title",FALSE
"80040",9,"Closed fracture of vault of skull with intracranial injury of other and unspecified nature, unspecified state of consciousness","Traumatic brain injury","title",FALSE
"80041",9,"Closed fracture of vault of skull with intracranial injury of other and unspecified nature, with no loss of consciousness","Traumatic brain injury","title",FALSE
"80042",9,"Closed fracture of vault of skull with intracranial injury of other and unspecified nature, with brief [less than one hour] loss of consciousness","Traumatic brain injury","title",FALSE
"80043",9,"Closed fracture of vault of skull with intracranial injury of other and unspecified nature, with moderate [1-24 hours] loss of consciousness","Traumatic brain injury","title",FALSE
"80044",9,"Closed fracture of vault of skull with intracranial injury of other and unspecified nature, with prolonged [more than 24 hours] loss of consciousness and return to pre-existing conscious level","Traumatic brain injury","title",FALSE
"80045",9,"Closed fracture of vault of skull with intracranial injury of other and unspecified nature, with prolonged [more than 24 hours] loss of consciousness, without return to pre-existing conscious level","Traumatic brain injury","title",FALSE
"80046",9,"Closed fracture of vault of skull with intracranial injury of other and unspecified nature, with loss of consciousness of unspecified duration","Traumatic brain injury","title",FALSE
"80049",9,"Closed fracture of vault of skull with intracranial injury of other and unspecified nature, with concussion, unspecified","Traumatic brain injury","title",FALSE
"80050",9,"Open fracture of vault of skull without mention of intracranial injury, unspecified state of consciousness","Traumatic brain injury","title",TRUE
"80051",9,"Open fracture of vault of skull without mention of intracranial injury, with no loss of consciousness","Traumatic brain injury","title",TRUE
"80052",9,"Open fracture of vault of skull without mention of intracranial injury, with brief [less than one hour] loss of consciousness","Traumatic brain injury","title",TRUE
"80053",9,"Open fracture of vault of skull without mention of intracranial injury, with moderate [1-24 hours] loss of consciousness","Traumatic brain injury","title",TRUE
